Date,DFM Index,Change,Change (%)
30/08/2017,"3,637.55",26.78,0.74
29/08/2017,"3,610.77",-2.29,-0.06
28/08/2017,"3,613.06",10.51,0.29
27/08/2017,"3,602.55",-21.94,-0.61
24/08/2017,"3,624.49",-0.36,-0.01
23/08/2017,"3,624.85",13.63,0.38
22/08/2017,"3,611.22",16.09,0.45
21/08/2017,"3,595.13",-20.26,-0.56
20/08/2017,"3,615.39",14.19,0.39
17/08/2017,"3,601.20",11.9,0.33
16/08/2017,"3,589.30",9.74,0.27
15/08/2017,"3,579.56",-6.35,-0.18
14/08/2017,"3,585.91",-27.68,-0.77
13/08/2017,"3,613.59",-33.74,-0.93
10/8/2017,"3,647.33",4.41,0.12
9/8/2017,"3,642.92",-4.95,-0.14
8/8/2017,"3,647.87",-10.27,-0.28
7/8/2017,"3,658.14",-7.8,-0.21
6/8/2017,"3,665.94",-9.18,-0.25
3/8/2017,"3,675.12",14.18,0.39
2/8/2017,"3,660.94",11.59,0.32
1/8/2017,"3,649.35",16.17,0.45
31/07/2017,"3,633.18",24.3,0.67
30/07/2017,"3,608.88",2.71,0.08
27/07/2017,"3,606.17",-2.3,-0.06
26/07/2017,"3,608.47",13.85,0.39
25/07/2017,"3,594.62",-4.76,-0.13
24/07/2017,"3,599.38",2.97,0.08
23/07/2017,"3,596.41",22.9,0.64
20/07/2017,"3,573.51",-8.74,-0.24
19/07/2017,"3,582.25",4.11,0.11
18/07/2017,"3,578.14",-24.32,-0.68
17/07/2017,"3,602.46",29.46,0.82
16/07/2017,"3,573.00",35.58,1.01
13/07/2017,"3,537.42",42.98,1.23
12/7/2017,"3,494.44",54.56,1.59
11/7/2017,"3,439.88",21.94,0.64
10/7/2017,"3,417.94",15.28,0.45
9/7/2017,"3,402.66",1.51,0.04
6/7/2017,"3,401.15",-16.19,-0.47
5/7/2017,"3,417.34",2.08,0.06
4/7/2017,"3,415.26",-9.43,-0.28
3/7/2017,"3,424.69",41.38,1.22
2/7/2017,"3,383.31",-8.69,-0.26
29/06/2017,"3,392.00",12.99,0.38
28/06/2017,"3,379.01",-23.3,-0.68
22/06/2017,"3,402.31",-15.99,-0.47
21/06/2017,"3,418.30",-33.8,-0.98
20/06/2017,"3,452.10",-6.27,-0.18
19/06/2017,"3,458.37",14.24,0.41
18/06/2017,"3,444.13",-15.31,-0.44
15/06/2017,"3,459.44",8.66,0.25
14/06/2017,"3,450.78",8.93,0.26
13/06/2017,"3,441.85",14.57,0.43
12/6/2017,"3,427.28",39.33,1.16
11/6/2017,"3,387.95",-12.15,-0.36
8/6/2017,"3,400.10",-5.91,-0.17
