Tickers,Returns,Betas,Alphas,Mean Prices
AIRARABIA,-8.94,4.72,-0.15,1.06
AJMANBANK,-15.94,32.82,-0.58,1.21
ALMADINA,-13.04,24.50,-0.42,0.65
ALSALAMKW,13.24,30.29,-0.31,0.72
ALSALAMSUDAN,8.70,197.85,-2.67,1.88
AMAN,2.15,24.44,-0.29,0.87
AMANAT,-0.89,12.01,-0.17,1.12
AMLAK,-3.42,6.86,-0.12,1.05
ARMX,4.94,21.95,-0.25,5.18
ARTC,263.64,11.52,-0.29,1.76
DAMAC,38.83,7.02,0.18,3.18
DARTAKAFUL,-8.47,37.00,-0.48,1.15
DEYAAR,-11.86,3.80,-0.17,0.53
DIB,11.33,1.90,0.05,5.79
DIC,-8.27,4.29,-0.08,2.29
DNIR,14.34,-4325.17,60.68,2.71
DSI,-20.83,6.78,-0.25,0.41
DU,-6.33,9.27,-0.18,5.64
DXBE,-21.00,5.55,-0.27,0.87
EKTTITAB,-17.31,11.77,-0.32,0.46
EMAAR,12.58,2.78,0.06,7.69
EMAARMALLS,-7.52,4.89,-0.13,2.55
GFH,-29.30,14.45,-0.44,2.24
GGICO,-26.00,6.75,-0.32,0.41
GULFNAV,-13.33,49.45,-0.78,1.41
HITSTELEC,-32.50,12.94,-0.45,0.62
MARKA,-50.72,15.45,-0.74,0.94
NCC,-8.06,38.70,-0.58,3.10
SALAMA,-16.07,7.64,-0.23,0.45
SALAM_BAH,-20.00,4.44,-0.24,0.95
SHUAA,-30.06,20.33,-0.54,1.47
TABREED,11.05,15.36,-0.13,1.98
TAKAFUL-EM,-13.33,1030.99,-14.51,2.30
UPP,-12.75,5.93,-0.13,0.95
