Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,1.07,1.09,1.07,10,"192,900","208,331.00",1.08,30/08/2017,1.08,1.08,0,,0
29/08/2017,1.08,1.08,1.08,6,"92,000","99,360.00",1.08,29/08/2017,1.07,1.08,0.01,,0.93
28/08/2017,1.08,1.08,1.07,17,"591,253","637,241.71",1.07,28/08/2017,1.08,1.07,-0.01,,-0.93
27/08/2017,1.08,1.08,1.08,30,"871,500","941,220.00",1.08,27/08/2017,1.09,1.08,-0.01,,-0.92
24/08/2017,1.1,1.1,1.09,16,"802,505","876,920.34",1.09,24/08/2017,1.08,1.09,0.01,,0.93
23/08/2017,1.08,1.1,1.08,26,"1,223,751","1,330,305.85",1.08,23/08/2017,1.09,1.08,-0.01,,-0.92
22/08/2017,1.09,1.1,1.09,17,"719,200","784,938.00",1.09,22/08/2017,1.09,1.09,0,,0
21/08/2017,1.11,1.12,1.09,64,"3,396,383","3,757,666.42",1.09,21/08/2017,1.11,1.09,-0.02,,-1.8
20/08/2017,1.09,1.12,1.09,82,"3,760,136","4,160,360.90",1.11,20/08/2017,1.09,1.11,0.02,,1.83
17/08/2017,1.08,1.09,1.07,59,"3,445,550","3,723,765.04",1.09,17/08/2017,1.06,1.09,0.03,,2.83
16/08/2017,1.06,1.11,1.05,101,"8,881,506","9,606,652.44",1.06,16/08/2017,1.07,1.06,-0.01,,-0.93
15/08/2017,1.07,1.07,1.05,38,"1,359,484","1,444,067.48",1.07,15/08/2017,1.07,1.07,0,,0
14/08/2017,1.08,1.1,1.07,36,"1,766,412","1,909,301.42",1.07,14/08/2017,1.11,1.07,-0.04,,-3.6
13/08/2017,1.12,1.12,1.1,20,"446,862","494,331.56",1.11,13/08/2017,1.11,1.11,0,,0
10/8/2017,1.11,1.11,1.11,5,"306,257","339,945.27",1.11,10/8/2017,1.11,1.11,0,,0
9/8/2017,1.11,1.13,1.11,17,"419,719","468,014.37",1.11,9/8/2017,1.12,1.11,-0.01,,-0.89
8/8/2017,1.14,1.14,1.12,12,"298,500","334,690.00",1.12,8/8/2017,1.13,1.12,-0.01,,-0.88
7/8/2017,1.14,1.15,1.13,17,"638,888","726,581.32",1.13,7/8/2017,1.13,1.13,0,,0
6/8/2017,1.12,1.13,1.11,28,"1,937,791","2,175,970.45",1.13,6/8/2017,1.13,1.13,0,,0
3/8/2017,1.13,1.15,1.13,37,"1,080,914","1,228,530.12",1.13,3/8/2017,1.13,1.13,0,,0
2/8/2017,1.14,1.15,1.13,18,"496,000","564,938.00",1.13,2/8/2017,1.14,1.13,-0.01,,-0.88
1/8/2017,1.15,1.15,1.13,24,"1,217,550","1,379,611.18",1.14,1/8/2017,1.13,1.14,0.01,,0.88
31/07/2017,1.14,1.15,1.13,60,"2,676,065","3,057,811.21",1.13,31/07/2017,1.13,1.13,0,,0
30/07/2017,1.15,1.15,1.13,50,"1,981,881","2,255,504.34",1.13,30/07/2017,1.15,1.13,-0.02,,-1.74
27/07/2017,1.13,1.17,1.13,72,"4,227,567","4,838,320.22",1.15,27/07/2017,1.13,1.15,0.02,,1.77
26/07/2017,1.16,1.16,1.13,66,"3,435,661","3,931,985.79",1.13,26/07/2017,1.15,1.13,-0.02,,-1.74
25/07/2017,1.15,1.19,1.15,165,"7,952,395","9,301,641.87",1.15,25/07/2017,1.13,1.15,0.02,,1.77
24/07/2017,1.15,1.15,1.13,42,"1,491,754","1,692,714.06",1.13,24/07/2017,1.15,1.13,-0.02,,-1.74
23/07/2017,1.13,1.18,1.13,155,"7,170,259","8,294,127.61",1.15,23/07/2017,1.12,1.15,0.03,,2.68
20/07/2017,1.11,1.15,1.1,250,"10,721,172","12,086,742.28",1.12,20/07/2017,1.11,1.12,0.01,,0.9
19/07/2017,1.14,1.15,1.1,98,"5,423,604","6,051,107.32",1.11,19/07/2017,1.15,1.11,-0.04,,-3.48
18/07/2017,1.15,1.17,1.14,45,"1,261,171","1,444,567.06",1.15,18/07/2017,1.15,1.15,0,,0
17/07/2017,1.16,1.19,1.15,123,"5,921,801","6,942,259.38",1.15,17/07/2017,1.17,1.15,-0.02,,-1.71
16/07/2017,1.15,1.17,1.15,44,"1,777,758","2,056,565.72",1.17,16/07/2017,1.15,1.17,0.02,,1.74
13/07/2017,1.17,1.19,1.15,137,"5,488,683","6,370,641.02",1.15,13/07/2017,1.17,1.15,-0.02,,-1.71
12/7/2017,1.21,1.24,1.15,203,"9,172,949","10,931,581.40",1.17,12/7/2017,1.2,1.17,-0.03,,-2.5
11/7/2017,1.13,1.22,1.13,276,"14,411,019","16,954,491.55",1.2,11/7/2017,1.12,1.2,0.08,,7.14
10/7/2017,1.12,1.16,1.12,189,"10,872,220","12,444,571.00",1.12,10/7/2017,1.12,1.12,0,,0
9/7/2017,1.1,1.12,1.09,56,"2,263,970","2,510,531.94",1.12,9/7/2017,1.1,1.12,0.02,,1.82
6/7/2017,1.1,1.1,1.07,31,"1,471,384","1,592,193.56",1.1,6/7/2017,1.08,1.1,0.02,,1.85
5/7/2017,1.07,1.13,1.06,143,"5,414,273","5,930,195.65",1.08,5/7/2017,1.08,1.08,0,,0
4/7/2017,1.11,1.11,1.08,79,"2,712,830","2,970,856.60",1.08,4/7/2017,1.09,1.08,-0.01,,-0.92
3/7/2017,1.07,1.16,1.07,312,"16,381,192","18,528,301.47",1.09,3/7/2017,1.06,1.09,0.03,,2.83
2/7/2017,1.04,1.06,1.03,21,"826,666","860,669.36",1.06,2/7/2017,1.04,1.06,0.02,,1.92
29/06/2017,1.05,1.08,1.04,23,"1,155,538","1,217,289.48",1.04,29/06/2017,1.06,1.04,-0.02,,-1.89
28/06/2017,1.06,1.08,1.05,6,"179,500","189,827.00",1.06,28/06/2017,1.06,1.06,0,,0
22/06/2017,1.06,1.08,1.03,57,"2,651,906","2,789,877.75",1.06,22/06/2017,1.06,1.06,0,,0
21/06/2017,1.08,1.09,1.06,34,"969,364","1,038,874.78",1.06,21/06/2017,1.08,1.06,-0.02,,-1.85
20/06/2017,1.09,1.11,1.08,32,"880,796","954,399.68",1.08,20/06/2017,1.08,1.08,0,,0
19/06/2017,1.09,1.1,1.08,26,"447,054","487,937.49",1.08,19/06/2017,1.09,1.08,-0.01,,-0.92
18/06/2017,1.12,1.12,1.09,29,"755,039","828,528.81",1.09,18/06/2017,1.11,1.09,-0.02,,-1.8
15/06/2017,1.12,1.12,1.1,40,"1,280,217","1,416,466.37",1.11,15/06/2017,1.13,1.11,-0.02,,-1.77
14/06/2017,1.11,1.14,1.1,49,"1,918,469","2,144,227.46",1.13,14/06/2017,1.11,1.13,0.02,,1.8
13/06/2017,1.1,1.15,1.09,182,"7,286,161","8,238,968.96",1.11,13/06/2017,1.08,1.11,0.03,,2.78
12/6/2017,1.09,1.09,1.08,30,"1,136,293","1,229,736.44",1.08,12/6/2017,1.09,1.08,-0.01,,-0.92
11/6/2017,1.08,1.12,1.07,72,"2,593,347","2,870,773.19",1.09,11/6/2017,1.09,1.09,0,,0
8/6/2017,1.1,1.1,1.08,41,"1,953,295","2,129,048.32",1.09,8/6/2017,1.1,1.09,-0.01,,-0.91
7/6/2017,1.11,1.13,1.1,38,"1,473,466","1,639,494.22",1.1,7/6/2017,1.11,1.1,-0.01,,-0.9
