Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,1.12,1.13,1.12,93,"8,665,681","9,734,349.28",1.12,30/08/2017,1.13,1.12,-0.01,,-0.88
29/08/2017,1.13,1.13,1.12,63,"3,122,895","3,509,171.61",1.13,29/08/2017,1.13,1.13,0,,0
28/08/2017,1.12,1.13,1.12,28,"1,312,156","1,471,714.14",1.13,28/08/2017,1.13,1.13,0,,0
27/08/2017,1.12,1.13,1.11,55,"3,241,084","3,635,818.05",1.13,27/08/2017,1.13,1.13,0,,0
24/08/2017,1.12,1.13,1.12,38,"2,135,326","2,393,046.13",1.13,24/08/2017,1.12,1.13,0.01,,0.89
23/08/2017,1.12,1.13,1.12,39,"2,336,260","2,620,214.12",1.12,23/08/2017,1.11,1.12,0.01,,0.9
22/08/2017,1.11,1.12,1.11,36,"1,629,369","1,814,252.60",1.11,22/08/2017,1.12,1.11,-0.01,,-0.89
21/08/2017,1.12,1.12,1.11,63,"5,030,379","5,633,910.70",1.12,21/08/2017,1.13,1.12,-0.01,,-0.88
20/08/2017,1.12,1.13,1.12,37,"2,065,190","2,315,450.15",1.13,20/08/2017,1.12,1.13,0.01,,0.89
17/08/2017,1.12,1.13,1.12,49,"4,055,524","4,546,867.71",1.12,17/08/2017,1.13,1.12,-0.01,,-0.88
16/08/2017,1.13,1.14,1.12,46,"3,611,365","4,077,272.45",1.13,16/08/2017,1.12,1.13,0.01,,0.89
15/08/2017,1.13,1.14,1.12,65,"5,714,458","6,440,839.79",1.12,15/08/2017,1.14,1.12,-0.02,,-1.75
14/08/2017,1.14,1.15,1.13,88,"7,020,106","8,022,491.42",1.14,14/08/2017,1.15,1.14,-0.01,,-0.87
13/08/2017,1.14,1.15,1.13,61,"3,632,653","4,139,320.73",1.15,13/08/2017,1.15,1.15,0,,0
10/8/2017,1.15,1.17,1.14,139,"14,321,011","16,479,435.78",1.15,10/8/2017,1.15,1.15,0,,0
9/8/2017,1.14,1.15,1.11,156,"10,141,077","11,506,858.66",1.15,9/8/2017,1.14,1.15,0.01,,0.88
8/8/2017,1.11,1.16,1.11,521,"58,373,514","66,153,242.13",1.14,8/8/2017,1.08,1.14,0.06,,5.56
7/8/2017,1.1,1.1,1.08,73,"6,720,114","7,331,691.83",1.08,7/8/2017,1.1,1.08,-0.02,,-1.82
6/8/2017,1.11,1.11,1.1,77,"5,211,233","5,770,384.67",1.1,6/8/2017,1.11,1.1,-0.01,,-0.9
3/8/2017,1.08,1.11,1.08,129,"11,661,340","12,813,337.63",1.11,3/8/2017,1.09,1.11,0.02,,1.83
2/8/2017,1.09,1.1,1.08,117,"11,356,428","12,344,773.55",1.09,2/8/2017,1.08,1.09,0.01,,0.93
1/8/2017,1.06,1.09,1.06,145,"14,824,042","16,017,942.56",1.08,1/8/2017,1.06,1.08,0.02,,1.89
31/07/2017,1.06,1.07,1.05,75,"9,092,590","9,639,613.90",1.06,31/07/2017,1.07,1.06,-0.01,,-0.93
30/07/2017,1.06,1.07,1.06,15,"467,006","497,010.48",1.07,30/07/2017,1.06,1.07,0.01,,0.94
27/07/2017,1.07,1.07,1.05,73,"6,120,722","6,482,851.06",1.06,27/07/2017,1.06,1.06,0,,0
26/07/2017,1.07,1.07,1.06,22,"1,755,193","1,872,978.34",1.06,26/07/2017,1.06,1.06,0,,0
25/07/2017,1.07,1.07,1.06,39,"1,075,813","1,145,203.28",1.06,25/07/2017,1.07,1.06,-0.01,,-0.93
24/07/2017,1.08,1.08,1.06,51,"3,330,089","3,577,573.48",1.07,24/07/2017,1.07,1.07,0,,0
23/07/2017,1.07,1.08,1.06,66,"6,670,040","7,137,546.11",1.07,23/07/2017,1.07,1.07,0,,0
20/07/2017,1.07,1.07,1.05,61,"2,346,094","2,491,049.91",1.07,20/07/2017,1.06,1.07,0.01,,0.94
19/07/2017,1.05,1.07,1.05,67,"5,657,900","5,987,342.28",1.06,19/07/2017,1.05,1.06,0.01,,0.95
18/07/2017,1.06,1.07,1.05,80,"9,023,739","9,546,001.03",1.05,18/07/2017,1.06,1.05,-0.01,,-0.94
17/07/2017,1.05,1.06,1.05,82,"6,342,314","6,688,667.09",1.06,17/07/2017,1.05,1.06,0.01,,0.95
16/07/2017,1.05,1.05,1.04,61,"4,390,308","4,608,980.25",1.05,16/07/2017,1.04,1.05,0.01,,0.96
13/07/2017,1.04,1.05,1.03,94,"8,848,362","9,229,513.04",1.04,13/07/2017,1.04,1.04,0,,0
12/7/2017,1.03,1.04,1.03,63,"4,359,594","4,513,701.93",1.04,12/7/2017,1.03,1.04,0.01,,0.97
11/7/2017,1.04,1.04,1.03,51,"2,839,173","2,941,849.33",1.03,11/7/2017,1.04,1.03,-0.01,,-0.96
10/7/2017,1.02,1.06,1.02,210,"18,172,865","18,914,294.20",1.04,10/7/2017,1.02,1.04,0.02,,1.96
9/7/2017,1.02,1.02,1.01,11,"266,542","270,252.38",1.02,9/7/2017,1.02,1.02,0,,0
6/7/2017,1.01,1.02,1.01,44,"2,567,032","2,605,374.83",1.02,6/7/2017,1.02,1.02,0,,0
5/7/2017,1.02,1.02,1.01,42,"2,489,317","2,532,613.56",1.02,5/7/2017,1.01,1.02,0.01,,0.99
4/7/2017,1.02,1.02,1.01,36,"1,322,041","1,345,238.17",1.01,4/7/2017,1.01,1.01,0,,0
3/7/2017,1.01,1.02,1.01,14,"730,563","738,466.26",1.01,3/7/2017,1.01,1.01,0,,0
2/7/2017,1.01,1.01,1.01,25,"1,095,118","1,106,069.18",1.01,2/7/2017,1.02,1.01,-0.01,,-0.98
29/06/2017,1,1.02,1,61,"3,749,385","3,761,831.00",1.02,29/06/2017,1.01,1.02,0.01,,0.99
28/06/2017,1.01,1.01,1,56,"2,305,186","2,328,218.41",1.01,28/06/2017,1,1.01,0.01,,1
22/06/2017,1.01,1.02,1,91,"7,375,809","7,424,536.71",1,22/06/2017,1.01,1,-0.01,,-0.99
21/06/2017,1.02,1.02,1.01,41,"2,194,278","2,229,651.18",1.01,21/06/2017,1.03,1.01,-0.02,,-1.94
20/06/2017,1.03,1.03,1.01,56,"1,723,568","1,761,237.31",1.03,20/06/2017,1.02,1.03,0.01,,0.98
19/06/2017,1.03,1.03,1.01,51,"2,554,444","2,605,827.88",1.02,19/06/2017,1.02,1.02,0,,0
18/06/2017,1.03,1.03,1.02,36,"1,350,552","1,380,459.57",1.02,18/06/2017,1.04,1.02,-0.02,,-1.92
15/06/2017,1.04,1.04,1.02,97,"8,730,130","8,994,244.03",1.04,15/06/2017,1.03,1.04,0.01,,0.97
14/06/2017,1.03,1.04,1.02,162,"12,655,461","13,095,154.55",1.03,14/06/2017,1.02,1.03,0.01,,0.98
